AppraisedValue,lat,long,SqFtLot
619000.0,47.35401916503906,-122.22516632080078,6542712
708000.0,47.61124801635742,-122.05315399169922,105850
297000.0,47.70124816894531,-122.36578369140624,1667
523000.0,47.53791809082031,-122.3928451538086,1872
288000.0,47.51022720336914,-122.18216705322266,3480
319000.0,47.35498046875,-122.23127746582031,546348
523000.0,47.69916152954102,-122.28042602539062,7221
482000.0,47.6992301940918,-122.2015380859375,12008
228000.0,47.73033142089844,-122.35586547851562,1017
358000.0,45.293429642915726,-93.9064060896635,1646
387000.0,47.32617950439453,-122.21492767333984,10502
405000.0,47.64235305786133,-122.29972839355469,3638
590000.0,47.608482360839844,-122.03455352783205,21000
218000.0,47.36497497558594,-122.19998168945312,4508
278000.0,47.52980422973633,-122.36273956298828,5761
354000.0,47.51713943481445,-122.18844604492188,9138
206000.0,47.49891662597656,-122.34140014648438,15639
563000.0,47.68939971923828,-122.39745330810548,5822
394000.0,47.76499557495117,-122.29368591308594,8996
334000.0,47.50432586669922,-122.17498779296876,8912
493000.0,47.64689254760742,-122.38790893554688,6480
280000.0,47.37744140625,-122.23374938964844,17571
86000.0,47.77401351928711,-121.4855499267578,6000
358000.0,47.75848388671875,-122.32884216308594,7202
683000.0,47.67130382359028,-122.17463739216328,6975
351000.0,47.55540466308594,-122.275634765625,5452
201000.0,47.514808654785156,-122.26616668701172,4859
364000.0,47.32165908813477,-122.40326690673828,39736
339000.0,47.57332992553711,-122.3142547607422,2752
478000.0,47.593253999999995,-122.19726499999999,8929
865000.0,47.56978225708008,-122.2804183959961,6000
228000.0,47.73033142089844,-122.35586547851562,1209
345000.0,47.6904182434082,-122.34203338623048,1250
793000.0,47.69645309448242,-122.17823791503906,6960
424000.0,47.71992111206055,-122.25059509277344,12240
207000.0,47.31843948364258,-122.2704849243164,15000
238000.0,47.55847549438477,-122.3142547607422,4148
500000.0,47.56897735595703,-122.40885162353516,2908
223000.0,47.48464965820313,-122.31855010986328,25013
332000.0,47.36820983886719,-122.25206756591795,435600
208000.0,47.43083572387695,-122.27703857421876,12411
191000.0,47.33213424682617,-122.31362915039062,12000
246000.0,47.3768424987793,-122.21774291992188,7500
234000.0,47.588584899902344,-122.30318450927734,2442
653000.0,47.68462753295898,-122.26667022705078,5520
240000.0,47.46468734741211,-122.2085952758789,10235
481000.0,47.67919921875,-122.28475952148438,5795
164000.0,47.53074264526367,-122.27772521972656,5936
154000.0,47.49465560913086,-122.16942596435548,5643
228000.0,47.5130729675293,-122.170166015625,7260
456000.0,47.690025329589844,-122.28267669677734,5856
565000.0,47.67600631713867,-122.39883422851562,4646
559000.0,47.610278204083436,-122.30152532458305,5496
354000.0,47.73760986328125,-122.3401870727539,8262
549000.0,47.55862045288086,-122.40164947509766,6360
976000.0,47.58576583862305,-122.2042007446289,6871
773000.0,47.58531188964844,-122.2937240600586,5000
713000.0,47.65825653076172,-122.28636169433594,5335
128000.0,47.49817276000977,-122.3615493774414,9750
322000.0,47.55975723266602,-122.39529418945312,5940
489000.0,47.71925354003906,-122.31363677978516,8021
220000.0,47.45524597167969,-122.33049774169922,14450
385000.0,47.72311019897461,-122.36327362060548,7680
681000.0,47.74637985229492,-122.2909698486328,8801
166000.0,47.43473815917969,-122.29155731201172,7090
688000.0,47.63917922973633,-122.31072998046876,13445
260000.0,47.770790100097656,-122.33596801757812,7695
504000.0,47.66426086425781,-122.17716979980469,11200
502000.0,47.71953201293945,-122.37134552001952,8505
325000.0,47.58076095581055,-122.3068389892578,7400
478000.0,47.52549743652344,-122.20191955566406,8070
447000.0,47.57327270507813,-122.38902282714844,5568
481000.0,47.68742752075195,-122.18650817871094,12603
572500.0,47.701938,-122.077331,223027
364000.0,47.59644317626953,-122.28865814208984,3000
282000.0,47.57516098022461,-122.2917251586914,3073
955000.0,47.63777688145638,-122.3127181828022,15100
904000.0,47.63075256347656,-122.30685424804688,4337
267000.0,47.75130462646485,-122.35418701171876,6850
225000.0,47.45217895507813,-122.176025390625,8314
556000.0,47.7261848449707,-122.28327178955078,21638
289000.0,47.57573318481445,-122.41045379638672,3383
560000.0,47.68527603149414,-122.34201049804688,4796
511000.0,47.75675964355469,-121.92567443847656,396396
283000.0,47.54704284667969,-122.29186248779295,4136
532000.0,47.56296157836914,-122.28870391845705,5510
446000.0,47.68297576904297,-122.36573028564452,3600
175000.0,47.47057723999024,-122.34416198730469,6920
543000.0,47.673828125,-122.30411529541016,3560
377000.0,47.55109405517578,-122.31147003173828,5687
404000.0,47.74349212646485,-122.07722473144531,67082
283000.0,47.32119369506836,-122.3613052368164,36485
400000.0,47.44849395751953,-122.36573791503906,16292
277000.0,47.75979614257813,-122.33187866210938,9060
560000.0,47.67231750488281,-122.2946319580078,5000
171000.0,47.51662826538086,-122.2623519897461,7548
161000.0,47.21099853515625,-121.98455810546876,6000
521000.0,47.604225158691406,-122.28887939453124,2970
423000.0,47.336402893066406,-122.34681701660156,21500
341000.0,47.69035720825195,-122.33873748779295,7250
208000.0,47.35775375366211,-122.17656707763672,13175
314000.0,47.49582290649414,-122.36026000976562,12692
336000.0,47.77253723144531,-122.20401763916016,10640
432000.0,47.60165023803711,-122.1537857055664,19042
244000.0,47.471641540527344,-122.26348876953124,9600
173000.0,47.523170471191406,-122.27448272705078,947
604000.0,47.55145263671875,-122.2603988647461,8495
791000.0,47.58206558227539,-122.2473373413086,9134
374000.0,47.57632446289063,-122.15071105957031,8790
385000.0,47.57322692871094,-122.15511322021484,11754
430000.0,47.71617126464844,-122.32225036621094,10320
333000.0,47.608253479003906,-122.30836486816406,4266
322000.0,47.72490692138672,-122.35721588134766,6579
594000.0,47.63924789428711,-122.39534759521484,5000
267000.0,47.54780960083008,-122.29188537597656,6222
202000.0,47.31295776367188,-122.28346252441406,10530
400000.0,47.687416076660156,-122.37860107421876,4400
349000.0,47.73208618164063,-122.35261535644531,6360
531000.0,47.66473770141602,-122.29048919677734,3500
210000.0,47.51014709472656,-122.37554931640624,5775
308000.0,47.535499572753906,-122.38219451904295,5100
176000.0,47.38123321533203,-122.22747802734376,3241
331000.0,47.73811340332031,-122.33413696289062,7492
192000.0,47.28424453735352,-122.35015106201172,10796
169000.0,47.50564956665039,-122.34954833984376,4582
265000.0,47.71926879882813,-122.31652069091795,7018
360000.0,47.63152313232422,-122.32360076904295,1809
665000.0,47.77586364746094,-122.35277557373048,8853
269000.0,47.76295471191406,-122.2911148071289,6236
348000.0,47.55606079101562,-122.27928161621094,6100
233000.0,44.9425048828125,-93.24267578125,8460
348000.0,47.772312,-122.37973000000001,7859
225000.0,47.47749328613281,-122.32574462890624,9344
555000.0,47.68109130859375,-122.28644561767578,5900
312000.0,47.77027893066406,-122.3591079711914,7350
221000.0,47.49412155151367,-122.34407043457031,9782
460000.0,47.57804489135742,-122.24034118652344,6050
400000.0,47.75761032104492,-122.3614273071289,8125
320000.0,47.772211999999996,-122.358337,6390
431000.0,47.45104598999024,-122.36620330810548,22366
722000.0,47.57807922363281,-122.39934539794922,10126
220000.0,47.49930191040039,-122.16799926757812,9198
